"manu_name","manu_django_id","style_name","style_django_id","home_name","code","sqft","bedrooms","baths","stories","cost","estimatedCost","link","floorplans","info"
"Express Modular","31","Cape Cod","4","Cape Ellsworth","em068","1707","3","2.5","2","107687","269218","http://www.expressmodular.com/view_plan.php?id=827","http://www.expressmodular.com/view_plan.php?id=827",""
"Express Modular","31","Cape Cod","4","Cape May","em069","1270","3","1.5","2","69610","174025","http://www.expressmodular.com/view_plan.php?id=825","http://www.expressmodular.com/view_plan.php?id=825",""
"Express Modular","31","Cape Cod","4","Cape Superior","em070","1103","1","1","1","61590","153975","http://www.expressmodular.com/view_plan.php?id=824","http://www.expressmodular.com/view_plan.php?id=824",""
"Express Modular","31","Cape Cod","4","Cape Vincent","em071","976","2","1","1.5","57625","144063","http://www.expressmodular.com/view_plan.php?id=83","http://www.expressmodular.com/view_plan.php?id=83",""
"Express Modular","31","Cape Cod","4","Carbondale","em072","2809","4","2.5","2","164051","410128","http://www.expressmodular.com/view_plan.php?id=84","http://www.expressmodular.com/view_plan.php?id=84",""
"Express Modular","31","Cape Cod","4","Carlisle","em073","1841","3","2.5","1.5","70655","176638","http://www.expressmodular.com/view_plan.php?id=625","http://www.expressmodular.com/view_plan.php?id=625",""
"Express Modular","31","Chalet","2","Carlsbad","em074","1056","3","1.5","1","57032","142580","http://www.expressmodular.com/view_plan.php?id=782","http://www.expressmodular.com/view_plan.php?id=782",""
"Express Modular","31","Cape Cod","4","Carlton","em075","2276","2","1.5","2","116320","290800","http://www.expressmodular.com/view_plan.php?id=130","http://www.expressmodular.com/view_plan.php?id=130",""
"Express Modular","31","Cape Cod","4","Carroll","em076","1520","2","1","1","79052","197630","http://www.expressmodular.com/view_plan.php?id=125","http://www.expressmodular.com/view_plan.php?id=125",""
"Express Modular","31","Cape Cod","4","Carter Estates","em077","1664","3","2","1","77838","194595","http://www.expressmodular.com/view_plan.php?id=166","http://www.expressmodular.com/view_plan.php?id=166",""
"Express Modular","31","Chalet","2","Catskill","em078","1210","2","1","1.5","68591","171478","http://www.expressmodular.com/view_plan.php?id=85","http://www.expressmodular.com/view_plan.php?id=85",""
"Express Modular","31","Chalet","2","Cedar Lake I","em079","1103","2","1","1","65760","164400","http://www.expressmodular.com/view_plan.php?id=823","http://www.expressmodular.com/view_plan.php?id=823",""
"Express Modular","31","Cape Cod","4","Centralia","em080","2555","3","2.5","1","167555","418888","http://www.expressmodular.com/view_plan.php?id=37","http://www.expressmodular.com/view_plan.php?id=37",""
"Express Modular","31","Cape Cod","4","Chalco Pointe","em081","1583","3","2","1","93694","234235","http://www.expressmodular.com/view_plan.php?id=15","http://www.expressmodular.com/view_plan.php?id=15",""
"Express Modular","31","Two Story","5","Charlotte AH","em082","2253","3","2.5","2","98707","246768","http://www.expressmodular.com/view_plan.php?id=626","http://www.expressmodular.com/view_plan.php?id=626",""
